Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,359.7661164,363.1012531,354.0336902,379.9555903,384.0780637,429.4122672,437.4197517,512.408957,569.282354,551.0006237,596.44244,608.3863319,602.5166003,592.4761648,590.4273674,588.9300803,578.9855448,584.3865153,553.036131,426.2294013,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.927029128,-2.497254639,7.321873841,1.084988201,11.80338266,1.864754466,17.14353433,11.09921992,-3.211364296,8.247144252,2.002522145,-0.964803329,-1.666416415,-0.345802497,-0.253593782,-1.688576593,0.932833389,-5.364665931,-22.92919443,..
Afghanistan,AFG,"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.219004888,3.632434687,1.90069271,3.520272797,2.998966265,2.697366562,3.723815707,3.617021956,4.876052454,5.998665108,3.969484823,4.530615623,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49,..,..,..,1.69,..,7.91,..,..,11.18,..,..,11.71,5.58,..
Afghanistan,AFG,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.100901063,5.078087919,5.049558481,5.022020416,4.99971913,4.985287472,4.9791624,4.976930721,4.976000228,4.974508197,4.970392427,4.967781434,4.965033507,4.959390583,4.956236366,4.956795799,4.962227563,4.965320198,4.956994415,4.934795482,4.901788059,4.865839052,4.815528054,4.755125968,4.674756914,4.576091914,4.508390906,4.473853274,4.457401908,4.462199715,4.468230756,4.482376298,4.514652999,4.554424653,4.593353536,4.628650921,4.66324768,4.693863585,4.718492836,4.741467286,4.760314251,4.775097884,4.79160891,4.804548051,4.806580158,4.781964308,4.750411084,4.803680825,4.849388368,4.830453701,4.834730209,4.809148811,4.767237123,4.737487477,4.690796787,4.644245638,4.606350887,4.57268661,4.551607034,4.53690098,4.494552727,4.437871825,4.395300155
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.082,48.079,48.067,48.033,47.986,47.943,47.884,47.844,47.828,47.83,47.841,47.88,47.942,48.017,48.099,48.183,48.12,48.083,48.054,48.017,47.988,48.024,48.08,48.176,48.268,48.358,48.449,48.541,48.636,48.743,42.609,..,..
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.6,49.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.27,..,..,..,46.96,..,51.73,..,..,47.31,..,..,41.58,49.81,..
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.31944307,45.01877021,50.09303031,55.55956927,59.55972008,72.97718861,74.50700121,72.89511344,75.67579254,88.23293919,94.67549354,99.24148949,99.8041337,102.2469027,100,102.4036562,104.5247929,111.3413562,120.0501064,120.6232604,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1740.505843,1804.010784,1818.367825,1799.878621,1740.347686,1735.290317,1798.015085,1748.578725,1691.530953,1808.646083,1606.296472,1163.491601,1086.438774,1197.580911,1305.001064,1488.020885,1633.552004,1464.297966,1603.647655,1821.873136,1960.882465,2143.526845,2247.498086,2380.644627,2522.449381,2675.508644,2851.367767,3044.896625,3298.478917,3432.170881,3577.114334,3678.047711,3736.340089,3780.699203,3855.760754,3952.803584,4090.372739,4249.820061,4431.555607,4543.387723,4418.660885,4857.111955,5158.509128
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.648648547,0.795840071,-1.016802172,-3.307497202,-0.290595348,3.614655544,-2.749496379,-3.262522334,6.923617285,-11.1879053,-27.56682084,-6.622551212,10.22994935,8.969761659,14.02449593,9.780179879,-10.36110497,9.516484438,13.60806912,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353,1.985388092,2.516827054,3.480293217,3.898112267,4.276311551,2.523540843,-2.745238678,9.922713708,6.205275394
